,ID,Name,MiddleName,LastName,Language,City,State,ZipCode,SeasonalWorker,Income,Funds,Assistance,Where_When,DueDate,Rent,Checks,Shared,ObligCS,PayCS,Type,Amount,StillOwed,Insurance
0,10,{'Xavier'},{'J'},{'Hernandez'},{'Spenish'},"{'St.', 'St. City Augustine', 'Augustine'}",{'FL'},{'32084'},set(),{'opt'},"{'all household members have in cash in the bank? $ 350', '350', 'How much money do you and or'}",set(),set(),set(),{'450'},"{'Applying to r', 'If you are no', 'Idon', 'REG', 'no', 'r', 'VOTER REG'}",{'es'},{'Does anyone in the'},"{'usehold', 'usehold pay child support to :', ':'}","{'Office', 'Dill', '1', 'Office of Doctor', '4 1 Dill', 'Doctor', '4'}",set(),{'l'},set()
1,28,{'Miguel'},{'F'},{'Jackson'},{'Spanish'},"{'Red Bl off', 'Bl', 'Red', 'off'}","{'State,', 'CA'}",{'96080'},set(),{'40P'},"{'How much money do you and all household members have in cash or in the bank? $', '0'}",{'x'},"{'Where: Detroit', '-', 'When: 2008 - 2010', 'Detroit', '2010', '2008'}",set(),{'300'},"{'Applying to r', 'n', 'If you are not', 'REG', 'r', 'VOTER REG'}",{'es'},{'Does anyone in the I'},"{'s', 'usehold', 'usehold pay child support to s'}","{'7', 'Hospital'}",{'7006'},set(),set()
2,90,{'Jill'},{'S'},{'Brennan'},{'French'},{'Columbus'},{'GA'},{'31906'},set(),{'2200'},"{'much money do you or', 'How and all household members have in cash in the bank? $ 4000', '$ 4000'}",set(),"{'Richmond', 'County', 'Full and Winter 2019', 'Richmond County', '2019', 'Full', 'Winter'}",set(),"{'950', '-'}","{'REC', 'If you are no', 'Idon', 'no', 'Applying to I', 'VOTER REC'}",set(),"{'350', '1'}",{'350'},"{'Contact Lenses', '2.', 'Contact', 'Lenses', '4'}",{'40'},{'N'},set()
3,37,{'Joshua'},{'M'},{'Rivers'},{'English'},"{'Angeles', 'Los', 'Los Angeles'}",{'CA'},{'90005'},set(),"{'3,500', '$ 3,500'}","{'$ 400', '400'}","{'Window or central air conditioner V', 'V'}",set(),set(),"{'098', 'junow', '0'}","{'Applying to rej', 'rej', 'I do not', 'If you are not I'}",set(),"{'h', '0', 'Does anyone in the h'}","{'sehold pay child support to', 'sehold'}","{'Prescription', 'Visit', 'Doctor', '100', 'Doctor Visit', '255'}","{'55', '00'}","{'09', 'es', 'b'}",set()
4,34,{'Jenna'},{'M'},{'Goldberg'},{'English'},{'Atlanta'},{'Georgia'},{'30305'},set(),"{'2,400', '$ 2,400'}","{'How much money do you and all household members have in cash or in the bank? $ 260', '260'}","{'15', 'If yes, amount received $ 15'}","{'Dallas,Tx', 'Where: Dallas,Tx', '2019', 'When: 2019'}",set(),"{'n', '600'}","{'Applying to re', 'I do not', 'If you are not I', 're'}",set(),"{'h', 'Does anyone in the h'}","{'sehold pay child support to', 'sehold'}","{'Glasses', '359', '578'}","{'859', '$78'}","{'les', '(es', '1'}",set()
5,81,{'Carlos'},{'A'},{'Caridad'},{'Spanish'},{'Marietta'},{'GA'},{'30007'},set(),"{'3,650', '$ 3,650'}","{'390', 'How much money do you and all household members have in cash or in the bank? $'}",set(),set(),"{'Due Date: 02/15/2022', '02/15/2022'}","{'1,230'}","{'I do not', 'If you are not I', 'rey', 'Applying to rey'}",set(),"{'h', 'Does anyone in the h'}","{'sehold pay child support to', 'sehold'}","{'78.0', 'Prescriptions'}","{'8.00', 'Ye'}",{'1'},set()
6,93,{'Chris'},{'T'},{'Kirk'},{'English.'},"{'Atlanta', 'City Atlanta'}",{'GA'},{'30301'},set(),"{'3000', '$ 3000'}","{'How much money do you and all household members have in cash or in the bank? $ 1500', '1500'}","{'Gas x Window or central air conditioner', 'x'}","{'trance', '1996-2011'}","{'Fah', '14', '2022', 'Fah 14 2022'}","{'50', '2300', '120'}","{'re', 'Applying to re', 'dono', 'If you are not'}",{'the home?'},{'700'},{'200'},"{'0', 'Hospital', 'Doctor', '5'}",{'500'},{'les'},{'vo'}
7,77,{'Lenny'},{'-'},"{'Nar', 'Small', 'Last Nar', 'la'}",{'English'},{'Soledad'},"{'State GA', 'GA'}",{'30333'},set(),set(),"{'$ 100', 'How much money do you and all household members have in cash or in the bank? $ 100', ""What is vour bousehold's primary heating or cooling source? Mark all that apply"", ""bousehold's"", 'vour'}","{'what you', '1', 'Wood/', 'what', '1 ast Name', 'ast'}","{'2011-2014', 'Oklahoma'}",set(),{'$ 100.00'},"{'I do no', 'If you are not', 'Applying to re', 'no', 're', 'x'}","{'home', 'f', 'f the home'}",set(),set(),"{'Doctor visit', 'Vet', '$1', 'Vet visit', 'Doctor', 'visit', '$ 1'}","{'$ 30 00', '100'}","{'yes', 'no'}",set()
8,109,{'George'},{'S'},{'Milton'},{'English'},{'Soledad'},{'GA'},{'30333'},set(),set(),"{'How much money do you and all household members have in cash or in the bank? $', '150'}","{'Kerosene Oil', 'wood', 'Oil'}",{'2011-2019'},set(),"{'$ 1500', 'e', '1500', '-'}","{'reg', 'If you are not r', 'I do not', 'Applying to reg', 'r'}","{'he', 'he home?'}",set(),"{'mount Paid', 'mount'}",{'nospital'},set(),set(),set()
9,189,{'Hernan'},{'Ell'},{'Garcia'},{'uslunda'},"{'A.', 'Marietta', '-'}",{'GA'},{'30067'},{'Crites'},{'2500'},"{'$ 1300', 'How much money do you or', 'and all household members have in cash in the bank? $ 1300'}","{'Have you received energy assistance in the last 12 months? Yes No If yes, amount received $ 200', 'Electric X', '$ 200', 'X', 'Gas Window or central air conditioner'}",{'where.'},"{'2022', 'June', '2', 'June 2 2022'}","{'200', '2000', '0'}","{'reg', 'I do not', 'If you are not I', 'Applying to reg'}","{'he', 'he home?'}",{'200'},"{'mount Paid', '0', 'mount'}",{'2'},"{'200', 'Ye'}","{'D', 'es'}",set()
